location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2012-01-20T23:23:00Z,µg/m³,45,4,13,10
Sheffield Devonshire Green - UKA00575,2012-02-20T23:00:00Z,µg/m³,37,2,14,11
Sheffield Devonshire Green - UKA00575,2012-02-20T23:02:00Z,µg/m³,30,2,15,13
Sheffield Devonshire Green - UKA00575,2012-02-20T23:03:00Z,µg/m³,30,1,16,13
Sheffield Devonshire Green - UKA00575,2012-02-20T23:04:00Z,µg/m³,30,1,16,13
Sheffield Devonshire Green - UKA00575,2012-02-20T23:05:00Z,µg/m³,30,1,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:06:00Z,µg/m³,25,1,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:07:00Z,µg/m³,25,1,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:08:00Z,µg/m³,28,1,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:09:00Z,µg/m³,36,1,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:10:00Z,µg/m³,43,1,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:11:00Z,µg/m³,38,2,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:12:00Z,µg/m³,22,4,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:13:00Z,µg/m³,18,8,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:14:00Z,µg/m³,30,10,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:15:00Z,µg/m³,23,13,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:16:00Z,µg/m³,35,14,17,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:17:00Z,µg/m³,35,15,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:18:00Z,µg/m³,33,16,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:19:00Z,µg/m³,35,16,16,14
Sheffield Devonshire Green - UKA00575,2012-02-20T23:20:00Z,µg/m³,31,15,16,13
Sheffield Devonshire Green - UKA00575,2012-02-20T23:21:00Z,µg/m³,30,12,16,13
Sheffield Devonshire Green - UKA00575,2012-02-20T23:22:00Z,µg/m³,29,11,15,13
Sheffield Devonshire Green - UKA00575,2012-02-20T23:23:00Z,µg/m³,29,9,15,13
Sheffield Devonshire Green - UKA00575,2012-03-20T23:00:00Z,µg/m³,34,8,15,13
Sheffield Devonshire Green - UKA00575,2012-03-20T23:02:00Z,µg/m³,28,6,15,13
Sheffield Devonshire Green - UKA00575,2012-03-20T23:03:00Z,µg/m³,28,6,15,13
Sheffield Devonshire Green - UKA00575,2012-03-20T23:04:00Z,µg/m³,22,5,15,13
Sheffield Devonshire Green - UKA00575,2012-03-20T23:05:00Z,µg/m³,22,5,16,13
