location_name,datetimeLocal,unit,no2,o3,pm10,pm25,city,so2
Sheffield Devonshire Green - UKA00575,2024-11-21T00:04:00Z,µg/m³,6,59,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:05:00Z,µg/m³,6,59,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:06:00Z,µg/m³,8,58,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:07:00Z,µg/m³,13,57,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:08:00Z,µg/m³,28,55,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:09:00Z,µg/m³,36,51,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:10:00Z,µg/m³,29,48,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:11:00Z,µg/m³,24,45,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:12:00Z,µg/m³,20,43,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:13:00Z,µg/m³,20,42,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:14:00Z,µg/m³,19,41,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:15:00Z,µg/m³,21,41,7,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:16:00Z,µg/m³,19,42,8,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:17:00Z,µg/m³,20,45,8,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:18:00Z,µg/m³,22,46,8,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-11-21T00:19:00Z,µg/m³,15,47,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:02:00Z,µg/m³,6,54,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:03:00Z,µg/m³,6,55,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:04:00Z,µg/m³,4,57,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:06:00Z,µg/m³,8,58,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:07:00Z,µg/m³,11,57,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:08:00Z,µg/m³,20,56,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:09:00Z,µg/m³,20,52,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:10:00Z,µg/m³,23,NA,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:11:00Z,µg/m³,16,NA,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:12:00Z,µg/m³,15,NA,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:13:00Z,µg/m³,16,NA,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:14:00Z,µg/m³,15,NA,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:15:00Z,µg/m³,14,46,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:16:00Z,µg/m³,10,47,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:17:00Z,µg/m³,15,46,NA,NA,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-12-21T00:18:00Z,µg/m³,17,46,NA,NA,Sheffield,NA
