location_name,datetimeLocal,unit,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2024-03-21T00:21:00Z,µg/m³,21,61,7,3,1
Hull Freetown - UKA00450,2024-03-21T00:22:00Z,µg/m³,18,60,7,4,1
Hull Freetown - UKA00450,2024-03-21T00:23:00Z,µg/m³,21,59,8,4,1
Hull Freetown - UKA00450,2024-04-21T00:00:00Z,µg/m³,18,58,8,4,1
Hull Freetown - UKA00450,2024-04-21T00:01:00Z,µg/m³,12,58,8,4,1
Hull Freetown - UKA00450,2024-04-21T00:02:00Z,µg/m³,8,59,9,4,1
Hull Freetown - UKA00450,2024-04-21T00:04:00Z,µg/m³,8,63,9,5,1
Hull Freetown - UKA00450,2024-04-21T00:06:00Z,µg/m³,7,67,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:07:00Z,µg/m³,8,69,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:08:00Z,µg/m³,24,68,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:09:00Z,µg/m³,32,66,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:10:00Z,µg/m³,15,65,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:11:00Z,µg/m³,14,64,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:12:00Z,µg/m³,15,62,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:13:00Z,µg/m³,17,59,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:14:00Z,µg/m³,15,56,9,5,1
Hull Freetown - UKA00450,2024-04-21T00:15:00Z,µg/m³,15,55,9,5,1
Hull Freetown - UKA00450,2024-04-21T00:16:00Z,µg/m³,12,55,9,5,1
Hull Freetown - UKA00450,2024-04-21T00:17:00Z,µg/m³,13,57,9,5,1
Hull Freetown - UKA00450,2024-04-21T00:18:00Z,µg/m³,10,57,9,5,1
Hull Freetown - UKA00450,2024-04-21T00:19:00Z,µg/m³,7,57,10,5,1
Hull Freetown - UKA00450,2024-04-21T00:20:00Z,µg/m³,6,57,11,5,1
Hull Freetown - UKA00450,2024-04-21T00:21:00Z,µg/m³,7,59,12,6,1
Hull Freetown - UKA00450,2024-04-21T00:22:00Z,µg/m³,5,60,13,6,1
Hull Freetown - UKA00450,2024-04-21T00:23:00Z,µg/m³,4,61,14,7,1
Hull Freetown - UKA00450,2024-05-21T00:00:00Z,µg/m³,3,62,15,7,1
Hull Freetown - UKA00450,2024-05-21T00:01:00Z,µg/m³,3,63,16,7,1
